Server, Authoritative, Recursive, Recursion ACL, Slave mode, Caching, DNSSEC, TSIG, IPv6, Wildcard, Free Software, Interface, split horizon
BIG-IP DNS, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes[citation needed], API  command line, Yes
BIND, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes (since 9.x), Yes (since 4.x), Yes, Web[Note 1]  command line, Yes
PowerDNS, Yes, Yes, Yes, Yes[Note 2], Yes, Yes (since 3.0) [Note 3], Yes (since 3.0), Yes[Note 2], Yes, Yes, REST  Web[Note 4]  command line, Partial[Note 5]
djbdns, Yes, Yes, Yes, Yes[Note 6], Yes, Partial[Note 7], No, Partial via generic records. [6], Partial[Note 8], Yes, command line and web (VegaDNS & NicTool), Yes[Note 9]
dbndns, Yes, Yes, Yes, Yes, Yes, No, No, Yes, Partial, Yes, command line and web, Yes
pdnsd, Partial, Yes, Partial, Partial, Yes, No [17], Partial, Yes, Yes, Yes, command line  pdnsd-ctl program, Partial
MaraDNS, Yes, Yes, Yes, Partial[Note 10], Yes, No, No, Partial, Yes, Yes, command line, No
Posadis, Yes, Yes, Yes, Yes, Yes, No, No, Yes, Yes, Yes, command line  API, No
Unbound, Partial, Yes, Yes, N/A, Yes, Yes, No, Yes, Yes, Yes, command line  API, Yes
Dnsmasq, Partial[Note 11], No, No, No, Yes, Yes (since 2.69) [Note 12], No, Yes, Yes, Yes, command line, Partial[Note 13]
NSD, Yes, No, N/A, Yes, N/A, Yes, Yes, Yes, Yes, Yes, command line, No
Knot DNS, Yes, No, N/A, Yes, N/A, Yes, Yes, Yes, Yes, Yes, command line, Yes[Note 14]
Knot Resolver, No, Yes, Yes, N/A, Yes, Yes, No, Yes, Yes, Yes, command line and web, No
YADIFA, Yes, No, N/A, Yes, N/A, Yes, Yes, Yes, Yes, Yes, command line, No
Microsoft DNS, Yes, Yes, Yes[Note 15], Yes, Yes, Yes[Note 16], Yes[Note 17], Yes[Note 18], Yes, No, GUI  command line  API[Note 19]  WMI[Note 20]  RPC[Note 21], Yes[Note 15]
Simple DNS Plus, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, GUI  Web  command line, Yes[Note 22]
Secure64 DNS Authority, Yes, No, No, Yes, No, Yes, Yes, Yes, Yes, No, Command Line or Web GUI, Yes
Secure64 DNS Cache, No, Yes, Yes, No, Yes, Yes, No, Yes, Yes, No, Command Line or Web GUI, Yes
Server, Authoritative, Recursive, Recursion ACL, Slave mode, Caching, DNSSEC, TSIG, IPv6, Wildcard, Free Software, Interface, split horizon
