Name, Language, License, Type, Configurable titlebar buttons, Graphical configuration, Hotkeys, ICCCM/EWMH compliant, Panel for window switching, Tabbed windows, Themeable, Memory (MB)[1], Initial Release, Latest Stable Release
2bwm, C, , Stacking, , {{no}}, {{yes}}, , , , {{yes}}, , 
9wm, C, MIT, Stacking, {{no}}, {{no}}, {{no}}, , {{yes}}, {{no}}, {{no}}, 0.4, 1994
aewm, C, MIT, Stacking, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, , 
awesome, C  Lua, GPL, Dynamic, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, 9, 2007-09-18
Blackbox, C++, MIT, Stacking, {{no}}, {{won|third-party}}, {{won|with bbkeys}}, {{yes|through 0.65 / from 0.70}}[2], {{yes}}, {{no}}, {{yes}}, 3, 
bspwm, C, BSD[3], Tiling, {{no}}, {{no}}, {{won|with sxhkd}}, {{partial}}, {{no}}, {{no}}, {{no}}, , 2013-04-23
Compiz, C (OpenGL), MIT, Compositing, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{won|third-party}}, {{yes}}, {{yes}}, , 2006, 2016-11-11
cwm, C, ISC, Stacking, {{no2}}no titlebar buttons, {{no}}, {{yes}}, , {{no}}, {{no}}, {{yes}}, , 2004-07-10
dwm, C, MIT, Dynamic, {{no2}}no titlebar buttons, {{no}}, {{yes}}, , {{yes}}, {{no}}, {{yes}}, 1, 2006-07-14
Enlightenment, C, BSD, Compositing, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, , 1997, 2019-08[4]
evilwm, C, MIT[5], Stacking, {{no2}}no titlebar buttons, {{no}}, {{yes}}, {{partial}}[6], {{no}}, {{no}}, {{yes}}, {{no}}{{Citation needed|date=December 2019}}, 
EXWM, Emacs Lisp, GPL, Tiling, {{no}}, {{no}}, {{yes}}, {{partial}}, {{no}}, {{no}}, {{yes}}, 
Fluxbox, C++, MIT, Stacking, {{yes}}, {{won|third-party}}, {{yes}}, {{yes}}[7], {{yes}}, {{yes}}, {{yes}}, 16, 
FLWM, C++ (FLTK), GPL, Stacking, , {{no}}, {{yes}}, , {{no|There is a window list menu}}, {{no}}, {{No}}, , 1998
FVWM, C, GPL, Dynamic, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[8], {{won|third-party}}[9][10], 4, 1993-06-01
i3, C, BSD, Dynamic, {{no2}}no titlebar buttons, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, 3, 2009-03-15
IceWM, C++, LGPL, Stacking, {{yes}}, {{won|third-party}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, 4.5, 1997, 2019-03-27
Ion, C  Lua, LGPL with naming restrictions on modified versions, Tiling, {{no2}}no titlebar buttons, {{no}}, {{yes}}, , {{no}}, {{yes}}, {{yes}}, , 2000, 2009-01-10
JWM, C, MIT (Formerly GPL), Stacking, {{yes}}, {{won|third-party}}, {{yes}}, {{yes|EWMH}}, {{yes}}, {{no}}, {{yes}}, 3, 2003
KWin (KDE), C++ (Qt), GPL, Compositing, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, 41, , 2019-01
Matchbox, C, GPL, Stacking, , , , {{Yes|EWMH compliance}}, {{no}}, {{no}}, {{yes}}, , 2007-04-13
Metacity (GNOME), C  C++ (GTK+), GPL, Compositing, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, , 2002-10, 2016-09
Mutter (GNOME/MeeGo), C (Clutter), GPL, Compositing, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{won|Gnome Shell}}, {{no}}, {{yes}}, 18.6, 2011-04, 2018-09
mwm (Motif Window Manager), C, The Open Group Public License, Stacking, {{no}}, {{no}}, {{yes}}, , , , {{No|can change colours}}, , 1989
Openbox, C, GPL, Stacking, {{yes}}, {{won|third-party}}, {{yes}}, {{yes}}, {{won|third-party}}, {{no}}, {{yes}}, 7, 2002-09-18
PekWM, C++, GPL, Stacking, {{yes}}, {{no}}, {{yes}}, {{partial}}, {{no}}, {{yes}}, {{yes}}, 5.3, 
PlayWM, C, GPL, Stacking, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, , 
Ratpoison, C, GPL, Tiling, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, 1, 2000-12-04
Sawfish, Lisp  C, GPL, Stacking, {{yes}}, {{yes}}, {{yes}}, {{Partial}}, {{yes}}, primitive, {{yes}}, 3.1, 2000-01-01
sithWM, C, GPL, Stacking, {{no2}}no titlebar buttons, {{no}}, {{yes}}, , {{no}}, {{no}}, {{yes}}, , 
spectrwm, C, ISC, Dynamic, {{no2}}no titlebar buttons, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{won|solid colors}}, , 
steamcompmgr, unknown, BSD-2-clause, Compositing, {{no}}, {{no}}, {{yes}}, , {{no}}, {{no}}, {{no}}, , 2013
StumpWM, Common Lisp, GPL, Tiling, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, , 
twm, C, MIT, Stacking, {{yes}}, {{no}}, {{yes}}, , {{yes}}, {{no}}, {{won|solid colors}}, 1.2, 1987
WMFS, C, BSD, Tiling, {{yes}}, {{no}}, {{yes}}, {{Yes}}, {{yes}}, {{yes}}, {{yes}}, , 
Window Maker, C, GPL, Stacking, {{no}}, {{yes}}, {{yes}}, {{partial}}, {{yes}}, {{yes}}, {{yes}}, 7, 1997, 2017-03-11
Wingo, Go, WTFPL, Dynamic, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, , 
wmii, C, MIT, Dynamic, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, , 2005-06-01
Xfwm (Xfce), C  C++ (GTK+), GPL  LGPL, Compositing, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, 70, 1996, 2019-08-12
xmonad, Haskell, BSD, Dynamic, {{yes}}, {{no}}, {{yes}}, {{yes|Yes / ?}}, {{won|third-party}}, {{yes}}, {{yes}}, 2, 2007-03-06
uwm, C, Similar to BSD license, Stacking, , , , , , , , , 1985
Name, Language, License, Type, Configurable titlebar buttons, Graphical configuration, Hotkeys, ICCCM/EWMH compliant, Panel for window switching, Tabbed windows, Themeable, Memory (MB), Initial release, Last Stable Release
