Name, Computer architectures supported, File systems supported, Kernel type, Source lines of code, GUI default is on[13], Package management, Update management, Native APIs[14], Non-native APIs supported through subsystems
 AIX, POWER  PowerPC-AS  PowerPC  Power ISA, JFS  JFS2  ISO 9660  UDF  NFS  SMBFS  GPFS, Monolithic with modules, , No, installp  RPM, Service Update Management Assistant (SUMA), SysV/POSIX, 
 AmigaOS Classic, 68k  PowerPC, Proprietary (OFS  FFS  SFS  PFS)  FAT  ISO 9660  UDF  many others via 3rd party drivers  such as SMBFS  etc., Microkernel, , Yes, Installer[15] (almost not needed)[16], , Proprietary, BSD subset (available through 3rd party ixemul.library)
 AmigaOS 4, PowerPC, Proprietary (OFS  FFS  SFS  PFS)  JXFS  FAT  ISO 9660  UDF  many others via 3rd party drivers  such as SMBFS  etc., Microkernel, , Yes, Installer[15] (almost not needed)[16], AmiUpdate (almost not needed)[17], Proprietary, BSD subset (available through 3rd party ixemul.library)
 Chrome OS, ARM  IA-32  x86-64, eCryptfs  NTFS  FAT  FAT16  FAT32  exFAT  ext2  ext3  ext4  HFS+  MTP (read and write)  ISO9660 (read-only)  UDF (read-only), Monolithic with modules, ?17 million[18], Yes, Portage, , Linux/POSIX, 
 DragonFly BSD, x86-64, UFS1  MFS  ext2  FAT (16/32)  HAMMER  ISO 9660, Hybrid, , No, dports  pkg, git  cvsup  rsync  pkg, BSD/POSIX, Mono  Java  Win16 [19] Win32 [19] Linux
 eComStation, IA-32, HPFS (default)  FAT  JFS  UDF  FAT32  NTFS (read only), Hybrid, , Yes, WarpIN  Feature Install  others, Maintenance Tool, Proprietary  DOS API  Win16, POSIX  Java  others
 FreeBSD, IA-32  x86-64  ARM  MIPS  PowerPC  others, UFS2  ZFS  ext2  ext3  FAT  ISO 9660  UDF  NFS  others, Monolithic with modules, {{nowrap|6.25 million}}[20], No, Ports collection  packages, by source  network binary update (freebsdupdate), BSD/POSIX, Mono  Java  Win16 [19] Win32 [19] Linux
 Genode, ARM  RISC-V  IA-32  x86-64, ext2  ext3  FAT32  ISO9660, Microkernel or Monolithic kernel, ?300 000 {{citation needed|date=May 2018}}, No, Custom, None, Genode, POSIX  Qt  SDL  MirageOS[21]
 GhostBSD, IA-32  x86-64, UFS2  ext2  ext3  FAT  ISO 9660  UDF  NFS  ReiserFS (read only)  XFS (experimental)  ZFS  others, Monolithic with modules, , Yes, Ports collection  packages, by source  network binary update (freebsdupdate), BSD/POSIX, Mono  Java  Win16 [19] Win32 [19] Linux
 Linux, IA-32  x86-64  ARM  PowerPC  SPARC  others, ext2  ext3  ext4  btrfs  ReiserFS  FAT  ISO 9660  UDF  NFS  and others, Monolithic with modules, ?15 million (kernel)[22] lines of code for userland libraries and applications vary depending on the distribution, Yes, Depends on the distribution, , Linux/POSIX, Mono  Java  Win16 [19] Win32[19]
 Haiku, IA-32  PowerPC  x86-64, BFS (default)  FAT  ISO 9660  ext3  NTFS, Hybrid, ?5.2 million{{citation needed|date=January 2015}}, Yes, Ports collection (haikuport), pkgman  HaikuDepot, POSIX  BeOS API, Java  Qt
 HP-UX, PA-RISC  IA-64, VxFS  HFS  CDFS  EVFS  NFS  CIFS, Monolithic with modules, , No, SD  swinstall, swa (HP-UX Software Assistant), SysV/POSIX, 
 Inferno, IA-32  PowerPC  SPARC  Alpha  MIPS  others, Styx/9P2000  kfs  FAT  ISO 9660, Monolithic with modules  user space file systems, , Yes, {{dunno}}, {{dunno}}, Proprietary, 
 iOS, ARM, HFS+ (prior to version 10.3)  APFS (since version 10.3)  FTP{{citation needed|date=August 2018}}, Hybrid, ?80 million{{citation needed|date=January 2015}}, Yes, ?, Software Update, Cocoa  BSD-POSIX, ?
 Classic Mac OS, 68k  PowerPC, HFS+  HFS  MFS (Mac OS 8.0 and before)  AFP  ISO 9660  FAT(System 7 and later)  UDF, Monolithic with modules, , Yes, None, Software Update (only in Mac OS 9), Toolbox  Carbon (from version 8.1), 
 macOS, PowerPC  IA-32  x86-64  (see also iOS for ARM), HFS+ (default on hard drives  and on flash drives up to Sierra)  APFS (default on flash drives in High Sierra)  HFS  UFS  AFP  ISO 9660  FAT  UDF  NFS  SMBFS  NTFS (read only)  FTP  WebDAV  ZFS (experimental), Hybrid with modules, ?86 million[23], Yes, macOS Installer, Software Update, Carbon  Cocoa  Java  BSD-POSIX, Toolbox (only in versions up to Mac OS X 10.4  not supported on x86 architecture)  Win16 [19] Win32[19]
 MINIX 3, IA-32, , Microkernel, ?12 000 (C) + ?1 400 (Assembly)[24], No, , , POSIX, 
 NetBSD, IA-32  x86-64  ARM  MIPS  PowerPC  sparc64  others, UFS  UFS2  ext2  FAT  ISO 9660  NFS  LFS  and others, Monolithic with modules, , No[25], pkgsrc, by source or binary (using sysinst), BSD-POSIX, Linux  others
 NetWare, 16-bit x86  IA-32, NSS  NWFS  FAT  NFS  AFP  UDF  CIFS  ISO 9660, Hybrid, , Yes, NWCONFIG.NLM  RPM  X11-based GUI installer, binary updates  ZENWorks for Servers  Red Carpet, Proprietary, 
 OpenBSD, IA-32  x86-64  SPARC  68k  Alpha  VAX  others, ffs  ext2  FAT  ISO 9660  NFS  some others, Monolithic, , No[25], Ports collection  packages, by source or binary (packages via pkg_add), BSD-POSIX, 
 OpenVMS, VAX  Alpha  IA-64, Files-11 (ODS)  ISO 9660  NFS  CIFS, Monolithic with modules, , No, PCSI  VMSINSTAL, {{dunno}}, Proprietary, POSIX
 OS/2, 16-bit x86 (1.x only)  IA-32, HPFS  JFS  FAT  ISO 9660  UDF  NFS, Monolithic with modules, , Yes, Feature Install and others, {{dunno}}, Proprietary  DOS API  Win16, Win32
 Plan 9, IA-32  Alpha  MIPS  PowerPC  SPARC  others, fossil/venti  9P2000  kfs  ext2  FAT  ISO 9660, Hybrid  user space file systems, ?2.5 Million /sys/src (complete source of all supported architectures  kernels  commands and libraries), Yes, None, replica, Proprietary (Unix-like), POSIX compatibility layer
 QNX, x86  SH-4  PowerPC  ARM  MIPS, QNX4FS  QNX6  ext2  FAT  ISO 9660  Joliet  NFS  CIFS  ETFS  UDF  HFS  HFS+  NTFS  others, Microkernel, , , , , POSIX  Java, 
 ReactOS, IA-32  PowerPC  ARM, FAT  NTFS (read only), Hybrid, nearly 8 million[26], Yes, None, None, Win32  NT API, 
 RISC OS, ARM (both 26 and 32-bit addressing modes), Acorn ADFS  Econet ANFS  FAT  ISO 9660  many others as loadable filesystems, Monolithic with modules. Cooperative multitasking with limited memory protection.[27], , Yes, Applications self-contained; hardware drivers often in ROM, !IyoUpWtch, Huge number of SWI calls; extensive C libraries, 
 Solaris, IA-32  x86-64  SPARC, UFS  ZFS  ext2  FAT  ISO 9660  UDF  NFS  QFS  some others, Monolithic with modules, , Yes, SysV packages (pkgadd) Image Packaging System (pkg) (Solaris 11 and later), Image Packaging System (Solaris 11 and later), SysV/POSIX  GTK  Java, Win16 [19] Win32 [19] Mono  Linux[28]
 OpenSolaris, IA-32  x86-64  SPARC(AI), UFS  ZFS  ext2  FAT  ISO 9660  UDF  NFS  QFS  some others, Monolithic with modules, grep total | awk '{ sum += $1 } END {print sum }' on [1] results in 18793105, Yes, Image Packaging System (pkg)  SysV packages (pkgadd), Image Packaging System, SysV/POSIX  GTK  Java, Win16 [19] Win32 [19] Mono  Linux[28]
 STOP 6  XTS-400, x86, Proprietary, Monolithic, , No, RPM for some untrusted applications, Binary updates via postal mail and proprietary tools, Some: SysV  POSIX  Linux  proprietary, 
 Symbian, ARM, FAT, Microkernel, , Yes, SIS files, FOTA, Proprietary, POSIX compatibility layer
 TrueOS, IA-32  x86-64[29], UFS2  ext2  ext3  FAT  ISO 9660  UDF  NFS  ReiserFS (read only)  XFS (experimental) and others, Monolithic with modules, , Yes, Ports collection  packages  PBI Graphical Installers, by PBI updates  source  network binary update (freebsdupdate), BSD-POSIX, Win16 [19] Win32[19]
 Windows Server (NT family), IA-32  x86-64  IA-64, NTFS  FAT  ISO 9660  UDF; 3rd-party drivers support ext2  ext3  ReiserFS [30] and HFS, Hybrid with modules, ?45 million[31], Yes, MSI  custom installers, Windows Update, Win32  NT API, DOS API  Win16 (only in 32-bit versions)  POSIX  .NET
 Windows (NT family), IA-32  x86-64  ARM  IA-64  Alpha  MIPS  PowerPC, NTFS  FAT exFAT ISO 9660  UDF; 3rd-party drivers support ext2  ext3  ReiserFS [30] HFS+  FATX  and HFS (with third party driver), Hybrid with modules, ?40 (XP)/64 (Vista and later) million{{Citation needed|date=February 2007}}, Yes, MSI  custom installers, Windows Update, Win32  NT API, DOS API  Win16 (only in 32-bit versions)  POSIX  .NET
 ZETA, IA-32, BFS (default)  FAT  ISO 9660  UDF  HFS  AFP  ext2  CIFS  NTFS (read only)  ReiserFS (read only  up
