OS, Version, Claimed IPv6-ready, Installed by default, DHCPv6, ND RDNSS, Notes
 AIX, 4.3, {{yes}}, {{yes}}, {{yes}}, {{no}}, 
 AlliedWare Plus, 5.4.4, {{yes}}, {{yes}}, {{yes}}, {{no}}, 
 Android, 5.0 (Lollipop), {{Yes}}[1][2], {{yes}}, {{no}}[3], {{yes}}, 
 ChromeOS, 67.0.3396.99, {{yes}}, {{yes}}, {{no}}, {{yes}}, 
 Cisco IOS, 15.3, {{yes}}, {{yes}}, {{yes}}, {{yes}}[4], Support for RDNSS option as of 15.4(1)T  15.3(2)S.
 Cisco Meraki, MX + MR + MX series, {{no}}, {{no}}, {{no}}, {{no}}, [5] Devices can only carry / pass through IPv6 on bridge  but not route
 Debian, 3.0 (woody), {{yes}}, {{yes}}, {{yes}}, {{yes}}, RDNSS support with "rdnssd" and "resolvconf" or "openresolve" packages.
 Fedora, 13, {{yes}}, {{yes}}[6], {{yes}}[6], {{yes}}[6], 
 FreeBSD, 9.0, {{yes}}[7], {{yes}}, {{partial|Addon}}[8], {{yes}}[9], 
 HP-UX, 11i, {{yes}}, {{yes}}, {{yes}}, {{yes}}, [10]
 IBM i, 7.1, {{yes}}, {{yes}}, {{yes}}, {{no}}, [11]
 iOS, 4.1, {{yes}}, {{yes}}, {{yes}}, {{yes}}[12], 
 Juniper JUNOS, 14.1, {{yes}}, {{yes}}, {{yes}}, {{yes}}, RDNSS support introduced in JunOS 14.1[13]
 macOS, Mac OS X 10.7 (Lion), {{yes}}, {{yes}}, {{yes}}[14], {{yes}}[15], Versions 10.7 through 10.10 often prefer IPv4 even when working IPv6 connectivity is available.[16] Versions 10.11 and up will prioritize IPv6 Traffic in spec with Happy Eyeballs.[17]
 MeeGo, 1.2, {{no}}[18], {{yes}}[19], {{no}}, {{yes}}[20], 
 NetBSD, 7.0, {{yes}}, {{yes}}, {{yes}}, {{yes}}, 
 OpenBSD, 5.2, {{yes}}, {{yes}}, {{partial|Addon}}[8], {{yes}}, RDNSS is only supported for rad(8) so far.
 openSUSE, 42.1 (Leap), {{yes}}[21], {{yes}}, {{yes}}, {{yes}}, 
 OpenVMS, 8.3, {{yes}}, {{yes}}, {{no}}, {{no}}, 
 ReactOS, 0.4.11, {{no}}, {{no}}, {{no}}, {{no}}, Though ReactOS itself has no IPv6 support  ReactOS Foundation services are all IPv6 enabled.
 Red Hat Enterprise Linux, 6, {{yes}}[22], {{yes}}, {{yes}}[8], {{yes}}, 
 Solaris, 11, {{yes}}, {{yes}}, {{yes}}, {{yes}}[23], 
 SUSE Linux Enterprise Server, 11, {{yes}}[24], {{yes}}, {{yes}}, {{yes}}, 
 Symbian, 7.0, {{yes}}, {{yes}}, {{no}}, {{no}}, [3]{{dead link|date=August 2017 |bot=InternetArchiveBot |fix-attempted=yes }}
 Ubuntu, All supported versions, {{yes}}, {{yes}}, {{yes}}, {{yes}}, RDNSS support available so long as NetworkManager uses IPv6 "Automatic" setting  otherwise "rdnssd" package required.
 webOS, 2.1.0, {{no}}, {{no}}, {{no}}, {{no}}, [25]
 Windows NT [includes Windows 10 Mobile], 5.1 (XP), {{yes}}, {{no}}, {{partial|Addon}}[8], {{no}}, Windows XP users can use Dibbler  an open source DHCPv6 implementation. --update: Windows XP fully supports IPv6- but NOT IPv6 DNS queries (nslookup)[26]
 6.X (Vista)  7  8  8.1  10 RTM-Anniversary Update, {{yes}}[27], {{yes}}, {{yes}}[8], {{no}}, dnssd-win32 provides an open source implementation of ND RDNSS[28]
 10 Creators Update, {{yes}}[27], {{yes}}, {{yes}}[8], {{yes}}, Windows 10 Creators Update introduces support for RFC 8106 (6106) RDNSS.
 Windows Mobile, 6.5, {{yes}}, {{yes}}, {{partial|Lite}}[29], {{no}}, If the OEM explicitly unsets the SYSGEN_TCPIP6 pre-processor symbol  the built image will not have any IPv6 capabilities.
 Windows Phone, 7.5, {{no}}, {{no}}, {{no}}, {{no}}, Windows Phone 8 might have some support.[30]
 8(.1)[31], {{yes}}, {{yes}}, {{yes}}, {{no}}, Private lab research. No privacy extensions (RFC4941).
 z/OS, V1R4.0, {{yes}}, {{yes}}, {{no}}[32], , 
 z/VM, V5R1.0, {{yes}}, {{yes}}, {{no}}, {{no}}, [33]
 z/VSE, V4R2, {{partial|Addon}}[34], {{no}}, , , Via a third party TCP/IP stack  IP6/VSE from Barnard Software  Inc.
 
