Card, Write protection switch{{hsp}}[31], DRM
CompactFlash, {{no}}, {{no}}
SmartMedia, {{partial}}  sticker, {{partial}} (optional)
MMC  RS-MMC, rowspan="2" {{no}}, {{no}}
MMCMobile, {{yes}}  secureMMC
SD, {{yes}}{{hsp}}[32][33], rowspan="3" {{yes}}  CPRM
miniSD, {{no}}
microSD, {{no}}
Memory Stick Standard  PRO, {{yes}}, {{optional}}  MagicGate
Memory Stick Duo  PRO Duo, {{no}}, {{optional}}  MagicGate
Memory Stick PRO-HG Duo, {{no}}, {{optional}}  MagicGate
Memory Stick Micro (M2), {{no}}, {{optional}}  MagicGate
PS Vita Memory Card, {{no}}, {{yes}}  Proprietary
xD, {{no}}, {{partial}}{{hsp}}[34]
USB, Sometimes, {{no}}
