Program, Developer, License, Supported file systems, Supported platforms, GUI, CLI, Script, Scheduler, Boot time, Auto defrag when idle, Stable release
 Auslogics Disk Defrag, Auslogics, {{Nonfree|Freeware}}, FAT16  FAT32  NTFS, Windows XP and later, {{Yes}}, {{Yes}}, , {{Yes}}, {{Yes}}, {{Yes}}, {{Latest stable software release/Auslogics Disk Defrag}}
 AVG PC TuneUp, AVG Technologies, {{Nonfree|Trialware}}, , , , , , , , , 2015 (v15.0.1001.238) (November 30  2014)
 Contig, Microsoft, {{Nonfree|Freeware }}, NTFS, Windows XP and later; Windows Server 2003 and later, {{No}}[1], {{Yes}}, {{No}}, {{Yes|Yes  with Windows Task Scheduler}}, {{No}}, {{Yes|Yes  with Windows Task Scheduler}}{{efn|name="ScheduleIdle"|Windows Task Scheduler "Idle" schedules and options settings will be applied to scheduled tasks.}}, 1.8 (July 4  2016)[1]
 Defraggler, Piriform, {{Nonfree|Freeware }}, FAT32  NTFS  exFAT  ReFS[2], Windows XP and later, {{Yes}}, {{Yes}}, {{No}}, {{Yes|Yes  with Windows Task Scheduler}}{{efn|Defraggler's GUI only provides an interface to configure defragmenting activity in Windows Task Scheduler.[3]}}, {{Yes}}, {{Yes|Yes  with Windows Task Scheduler}}{{efn|name="ScheduleIdle"}}, {{Latest stable software release/Defraggler}}
 Disk Defragmenter, Microsoft, {{Needs|Bundled with Microsoft Windows}}, FAT16  FAT32  NTFS  ReFS, Windows NT 4 and later; Windows 95 and later, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes|Yes; via Security and Maintenance}}, {{No}}, {{Yes|Yes; via Security and Maintenance}}, Same as Windows
 Diskeeper, Condusiv Technologies, {{Nonfree|Trialware}}, FAT16  FAT32  NTFS, Windows XP and later, {{Yes}}[4], {{Yes}}[5], {{Yes}}[6], {{Yes}}{{efn|Condusiv Technologies claims its InvisiTasking technology eliminates the need for scheduled defragmentation.}}, {{Yes}}[7], {{Yes}}, {{Latest stable software release/Diskeeper}}
 JkDefrag, Jeroen Kessels, {{Free|GNU GPL}}, FAT & NTFS, Windows 2000  Windows XP  Windows Vista, {{Yes}}, {{Yes}}, , , , , 3.36.0.2 / August 31  2008
 O&O Defrag, O&O Software, {{Nonfree|Trialware}}, FAT16  FAT32  NTFS, Windows 2000  XP  Vista  Server 2008  7  and 8, {{Yes}}, {{Yes}}, , {{Yes}}, {{Yes}}, {{Yes}}, {{Latest stable software release/O&O Defrag}}
 PageDefrag, Microsoft, {{Nonfree|Freeware}}, , , , , , , , , 
 PerfectDisk 14, Raxco, {{Nonfree|Trialware}}, FAT16  FAT32  exFAT  NTFS  ReFS* and CSVFShttps://raxco.my.salesforce.com/_ui/selfservice/pkb/PublicKnowledgeSolution/d?orgId=00D30000001FVTK&id=50130000000irUt&retURL=%2Fsol%2Fpublic%2Fsolutionbrowser.jsp%3Fsearch%3Dexfat%26cid%3D000000000000000%26orgId%3D00D30000001FVTK%26t%3D4&ps=1, Windows XP SP3 or higher (x86  x64) Windows 10  Windows Server 2003 SP1 Windows Server 2019https://raxco.my.salesforce.com/_ui/selfservice/pkb/PublicKnowledgeSolution/d?orgId=00D30000001FVTK&id=50130000000irUt&retURL=%2Fsol%2Fpublic%2Fsolutionbrowser.jsp%3Fsearch%3Dexfat%26cid%3D000000000000000%26orgId%3D00D30000001FVTK%26t%3D4&ps=1, {{Yes}}, {{Yes}}(Enterprise Console Edition Only), , {{Yes}}, {{Yes}}, {{Yes}}, PerfectDisk 14 Build 894(May 2  2019)[8]
 UltimateDefrag, DiskTrix, {{Nonfree|Trialware}}[9], FAT32  NTFS, Windows XP and later, {{Yes}}, {{Yes}}, , {{Yes}}, {{Yes}}, , 6.0.20.0 (29 July 2019)
 UltraDefrag, Dmitri Arkhangelski  Justin Dearing  Sayem Chaklader  Stefan Pendl, {{Nonfree|Commercial software}} (8.0) / GNU GPL (7.1.2), FAT12  FAT16  FAT32  NTFS  exFAT[10], Windows NT 4.0 and later, {{Yes}}, {{Yes}}, {{Yes}}{{efn|UltraDefrag can be run in batch scripts and apply several parameters separately for each disk.}}[11], {{Yes|Yes  with Windows Task Scheduler}}, {{Yes}}, {{Yes|Yes  with Windows Task Scheduler}}{{efn|name="ScheduleIdle"}}, {{Latest stable software release/UltraDefrag}}  Open source version discontinued[12]
 Vopt, GoldenBow (or DataTuna)[13], {{dropped|Discontinued (formerly freeware)}}, FAT32  NTFS, Windows 2000 and later, {{Yes}}, , , {{Yes}}, , , {{Latest stable software release/Vopt}}
 Program, Developer, License, Supported file systems, Supported platforms, GUI, CLI, Script, Scheduler, Boot time, Auto defrag when idle, Stable release
 
